ckck,ck
clbk,cintalamabersemikembali
cmpr,campur
cnenk,senang
congor,mulut
cow,cowok
coz,karena
cpa,siapa
gokil,gila
gombal,sukamerayu
gpl,tidakpakailama
gpp,tidakapa-apa
gretong,gratis
gt,begitu
gtw,tidaktahu
guys,teman-teman
gws,cepatsembuh
haghaghag,tertawa
hakhak,tertawa
handak,bahanpeledak
hansip,pertahanansipil
hellow,halo
helow,halo
hi,hai
hlng,hilang
hnya,hanya
houm,rumah
hrs,harus
hubad,hubunganangkatandarat
hubla,perhubunganlaut
huft,mengeluh
humas,hubunganmasyarakat
idk,sayatidaktahu
ilfeel,tidaksuka
imba,jagosekali
imoet,imut
info,informasi
itung,hitung
isengin,bercanda
iyala,iyalah
iyo,iya
jablay,jarangdibelai
jadul,jamandulu
jancuk,anjing
jd,jadi
jdikan,jadikan
jg,juga
jgn,jangan
jijay,jijik
jkt,jakarta
jnj,janji
jth,jatuh
jurdil,jujuradil
jwb,jawab
ka,kakak
kabag,kepalabagian
kacian,kasihan
kadit,kepaladirektorat
kaga,tidak
kaka,kakak
kamtib,keamanandanketertiban
kamuh,kamu
kamyu,kamu
kapt,kapten
kasat,kepalasatuan
kasubbid,kepalasubbidang
kau,kamu
kbar,kabar
kcian,kasihan
keburu,terlanjur
kedubes,kedutaanbesar
keknya,kayaknya
keliatan,kelihatan
keneh,masih
kepikiran,terpikirkan
kepo,mautahuurusanorang
kere,tidakpunyauang
kesian,kasihan
ketauan,ketahuan
keukeuh,keraskepala
khan,kan
kibus,kakibusuk
kk,kakak
klian,kalian
klo,kalau
kluarga,keluarga
klwrga,keluarga
kmari,kemari
kmpus,kampus
kn,kan
knl,kenal
knpa,kenapa
kog,kok
kompi,komputer
komtiong,komunisTiongkok
konjen,konsulatjenderal
koq,kok
kpd,kepada
kptsan,keputusan
krik,garing
ktauan,ketahuan
ktny,katanya
kudu,harus
kuq,kok
ky,seperti
kykny,kayanya
laka,kecelakaan
lambreta,lambat
lansia,lanjutusia
lapas,lembagapemasyarakatan
lbur,libur
lekong,laki-laki
lgkp,lengkap
lht,lihat
linmas,perlindunganmasyarakat
lmyan,lumayan
lngkp,lengkap
loch,loh
lol,tertawa
lom,belum
loupz,cinta
lowh,kamu
luchu,lucu
luff,cinta
luph,cinta
lw,kamu
lwt,lewat
maaciw,terimakasih
mabes,markasbesar
macem-macem,macam-macam
madesu,masadepansuram
maen,main
mahatma,majusehatbersama
mak,ibu
makasih,terimakasih
malah,bahkan
malu2in,memalukan
mamz,makan
manies,manis
mantep,mantap
markus,makelarkasus
mba,mbak
mending,lebihbaik
mgkn,mungkin
