Title,Text1,Penulis1,Penulis2,Abstrak,KataKunci,Klasifikasi,Jenis,Subjek,Tahun,Penerbit
NETWORK SLICING MENGGUNAKAN FLOWVISOR UNTUK PENEGAKAN ISOLASI BANDWIDTH PADA JARINGAN SDN DENGAN MENGGUNAKAN PROTOKOL OPENFLOW DAN POX CONTROLLER QIRANI FADHILA RAMADHANI,QIRANI FADHILA RAMADHANI,QIRANI FADHILA RAMADHANI,"M. Teguh Kurniawan, Ahmad Almaarif",,,621.385 1 - Network analysis,Karya Ilmiah - Skripsi (S1) - Reference,"Network Slicing, Network Analysis,",2023,"Universitas Telkom, S1 Sistem Informasi"
PENGEMBANGAN APLIKASI HALAL TOURISM KOREA PADA PERANGKAT MOBILE ANDROID MENGGUNAKAN METODE ITERATIVE INCREMENTAL HENRY AUGUSTA HARSONO,HENRY AUGUSTA HARSONO,HENRY AUGUSTA HARSONO,"Faishal Mufied Al Anshary, Rahmat Fauzi",,,338.479 1 - Tourism,Karya Ilmiah - Skripsi (S1) - Reference,"Android, Tourism Management,",2023,"Universitas Telkom, S1 Sistem Informasi"
PENILAIAN KAPABILITAS TATA KELOLA DAN MANAJEMEN TI MENGGUNAKAN FRAMEWORK COBIT 2019 FOKUS DOMAIN BAI DAN MEA PADA DINAS KOMUNIKASI DAN INFORMATIKA KOTA BANDUNG DANIA ZALFA,DANIA ZALFA,DANIA ZALFA,"Falahah, Widyatasha Agustika Nurtrisha",<p> </p>,"<p align=""center"">Oleh</p>",658.1592 - Manajemen,Karya Ilmiah - Skripsi (S1) - Reference,"Corporate Governance, Governance Corporation,",2023,"Universitas Telkom, S1 Sistem Informasi"
PERANCANGAN BACKGROUND ART UNTUK ANIMASI 2D YENI FITRI SARI,YENI FITRI SARI,YENI FITRI SARI,"Arief Budiman, Tiara Radinska Deanda",<p>Animasi 2D membutuhkan perancangan background yang mendukung peran karakter dan memperlihatkan suasana dalam cerita. Hutan hujan tropis Sumatera menjadi landasan utama dalam proses imajinasi visual perancangan background. Metode yang digunakan dalam perancangan ini adalah penelusuran buku beserta jurnal sebagai landasan teori dan observasi hasil riset yang telah dilakukan. Perancangan ini diharapkan mampu memberikan hasil karya background yang berhasil mendukung tujuan cerita animasi 2D.</p>,Tersedia 1 dari total 1 Koleksi,791. 43 - animation,Karya Ilmiah - Skripsi (S1) - Reference,"Animasi, Animation Film,",2023,"Universitas Telkom, S1 Desain Komunikasi Visual"
PERANCANGAN ENTERPRISE RESOURCE PLANNING MODUL ACCOUNTING PADA PERUSAHAAN JASA TRANSPORTASI PERTAMBANGAN MENGGUNAKAN METODE LIFE CYCLE ERP DHENDY MAHVIRA,DHENDY MAHVIRA,DHENDY MAHVIRA,"R. Wahjoe Witjaksono, Avon Budiono","<p>Pembangunan sistem <em>Enterprise Resource Planning </em>(ERP) pada PT Tams Total Solution dilakukan untuk menanggapi permasalahan tersebut dengan tujuan mengatasi permasalahan integrasi data akuntansi pada perusahaan ini. Sistem ERP yang digunakan yaitu software odoo modul <em>accounting</em> yang merupakan salah satu <em>Software open source</em> ERP yang meliputi <em>Project Management, Sales dan Marketing, Manufacturing, Warehouse, Logistics, serta Finance and Accounting. </em></p>",,"658.401 2 - Planning and policy making, Management by objectives, Strategic management",Karya Ilmiah - Skripsi (S1) - Reference,"Enterprise Resource Planning, Accounting,",2023,"Universitas Telkom, S1 Sistem Informasi"
PERANCANGAN MAJALAH PERAWATAN DENIM SEBAGAI MEDIA INFORMASI BAGI KONSUMEN DI WINGMAN DENIM MUHAMMAD SYUKRI BAIDHAWI,MUHAMMAD SYUKRI BAIDHAWI,MUHAMMAD SYUKRI BAIDHAWI,Dimas Krisna Aditya,,,650.005 - MAJALAH,Karya Ilmiah - Skripsi (S1) - Reference,"Majalah, Media Promo,",2023,"Universitas Telkom, S1 Desain Komunikasi Visual"
PERANCANGAN MEDIA PROMOSI PERGURUAN SILAT PGB BANGAU PUTIH CHRISTIAN DEVIN VIERIANJAYA,CHRISTIAN DEVIN VIERIANJAYA,CHRISTIAN DEVIN VIERIANJAYA,"Rizki Yantami Arumsari, Adya Mulya Prajana","<p>Kata kunci : Pencak Silat, Budaya, PGB Bangau Putih</p>",,"302.23 - Media of Communication, Mass Media",Karya Ilmiah - Skripsi (S1) - Reference,"Media Promo, Media Of Information,",2023,"Universitas Telkom, S1 Desain Komunikasi Visual"
PERANCANGAN MEDIA PROMOSI UNTUK MENINGKATKAN BRAND AWARENESS PADA UMKM KUNI SESERAHAN SYAFINA SALSABILA,SYAFINA SALSABILA,SYAFINA SALSABILA,"Siti Hajar Komariah, Yanuar  Rahman","<p style=""margin-left:38.0pt;""><strong>Kata kunci : perancangan, media promosi, seserahan, <em>brand awareness</em>, KUNI</strong></p>",,"302.23 - Media of Communication, Mass Media",Karya Ilmiah - Skripsi (S1) - Reference,"Brand Awareness, Media Promo,",2023,"Universitas Telkom, S1 Desain Komunikasi Visual"
PERANCANGAN MEDIA PROMOSI UNTUK NATURALE DI KOTA BANDUNG MUHAMMAD TAUFIK ABRILIAN,MUHAMMAD TAUFIK ABRILIAN,MUHAMMAD TAUFIK ABRILIAN,"Siti Hajar Komariah, Bijaksana Prabawa","<p>Kata Kunci: Media Promosi, Kuliner, UMKM, Naturale.</p>",,658.515 - Promotion of efficiency,Karya Ilmiah - Skripsi (S1) - Reference,"Promosi, Promotion-media,",2023,"Universitas Telkom, S1 Desain Komunikasi Visual"
Perancangan NPC Dan Mini Games Pada  World Fakultas Teknik Elektro Dengan  Platform Minecraft Untuk Tel-U Craft DEAN TRAJA FARIZQULLAH,DEAN TRAJA FARIZQULLAH,DEAN TRAJA FARIZQULLAH,"Yahdi Siradj, Rikman Aherliwan Rudawan",,,"793.7 - Games not Characterized by Action, puzzle, TTS",Karya Ilmiah - Skripsi (S1) - Reference,"Video Games-design, Video Game Characters-design,",2023,"Universitas Telkom, D4 Teknologi Rekayasa Multimedia"
